Model,Accuracy,Precision(macro),Recall(macro),F1(macro)
RandomForest,0.7160751565762005,0.583066281411435,0.5422123713957716,0.5507863549946586
LogisticRegression,0.7265135699373695,0.5740597943722944,0.5329303647911413,0.5401174486898123
GradientBoosting,0.6847599164926931,0.5610568079178113,0.5266142306302949,0.5340949057068825
SVC,0.697286012526096,0.6205581389798251,0.5116585184858277,0.5181510335837329
MLP,0.6576200417536534,0.5000313839708956,0.5071018029518699,0.5019713232887829
RandomForest (tuned),0.7223382045929019,0.6364878048780487,0.5440421842028267,0.5454206189170493
LogisticRegression (tuned),0.7286012526096033,0.5867691392909415,0.5424541743149508,0.5520085045861963
